PERSON_NUMBER;PERSON_NUMBER_ADD;SURNAME;FIRST_NAME;MIDDLE_NAME;MANAGER_FULL_NAME;POSITION_NAME;TB_CODE;GOSB_CODE;BUSINESS_BLOCK;PRIORITY_TYPE;KPK_CODE;KPK_NAME;ROLE_CODE;UCH_CODE;GENDER;ORG_UNIT_CODE
17840056202261045290;17840056202261045290;Лебедев;Ярослав;Сергеевич;Титова Софья Аркадьевна;Бизнес-архитектор;01;826417;не участник;0;00000001;КПК Восток;R003;0;1;01826417
04183809306025386190;04183809306025386190;Белова;Вера;Юрьевна;Голубева Ева Олеговна;Ведущий специалист;11;596912;Финансы;1;00000002;КПК Север;R002;1;2;11596912
12234126431368299776;12234126431368299776;Павлова;Елена;Алексеевна;Макаров Виктор Дмитриевич;Эксперт;03;8415;не участник;1;00000003;КПК Восток;R001;0;2;03841500
75970761324845068676;75970761324845068676;Михайлова;Екатерина;Владимировна;Егоров Роман Михайлович;Начальник отдела;06;4459;Операционный;0;00000004;КПК Восток;R011;1;2;06445900
31221625758093788173;31221625758093788173;Киселев;Степан;Аркадьевич;Белов Егор Степанович;Консультант;08;812708;Технологии;1;00000005;КПК Запад;R004;1;1;08812708
19228520978520988681;19228520978520988681;Егоров;Виталий;Валерьевич;Кузьмина Ксения Валерьевна;Менеджер;04;2373;не участник;1;00000006;КПК Восток;R005;0;1;04237300
94522010957302397672;94522010957302397672;Воробьева;Милана;Константиновна;Смирнова Анастасия Фёдоровна;Руководитель группы;07;515430;Финансы;1;00000007;КПК Север;R003;1;2;07515430
79054806662220888312;79054806662220888312;Киселева;Диана;Константиновна;Соколова Елизавета Семёновна;Разработчик;08;531028;Розничный;1;00000008;КПК Запад;R003;1;2;08531028
42810545503570468785;42810545503570468785;Петров;Михаил;Сергеевич;Воробьева Софья Михайловна;Разработчик;09;310839;Технологии;1;00000009;КПК Запад;R008;0;1;09310839
59810859421802005669;59810859421802005669;Макарова;Виктория;Григорьевна;Михайлов Руслан Александрович;Аналитик;06;4883;Операционный;1;00000010;КПК Восток;R002;0;2;06488300
77288820479701279369;77288820479701279369;Беляева;Вероника;Викторовна;Федоров Георгий Владимирович;Разработчик;04;2480;Корпоративный;0;00000011;КПК Юг;R011;0;2;04248000
14827520954036329715;14827520954036329715;Иванов;Артем;Фёдорович;Гусева Софья Алексеевна;Руководитель группы;08;566357;Технологии;1;00000012;КПК Восток;R009;0;1;08566357
56868611289024163737;56868611289024163737;Зайцева;Елизавета;Валерьевна;Кузнецов Сергей Сергеевич;Бизнес-архитектор;03;7050;Технологии;0;00000013;КПК Юг;R007;0;2;03705000
20186481619753757940;20186481619753757940;Соколова;Елена;Константиновна;Виноградова Милана Вадимовна;Эксперт;07;757524;не участник;0;00000014;КПК Север;R003;1;2;07757524
76982727312115994664;76982727312115994664;Соколов;Георгий;Константинович;Киселев Михаил Сергеевич;Аналитик;02;4569;Розничный;0;00000015;КПК Юг;R001;1;1;02456900
30299981562063515153;30299981562063515153;Федорова;Ксения;Николаевна;Смирнов Артем Николаевич;Аналитик;11;685117;Финансы;1;00000016;КПК Север;R002;1;2;11685117
